step	accuracy
0	0.7728832960128784
1	0.8147193789482117
2	0.8224512934684753
3	0.813788652420044
4	0.8245990872383118
5	0.8204467296600342
6	0.8242411017417908
7	0.8264604806900024
8	0.8252434134483337
9	0.8238115906715393
10	0.8266036510467529
11	0.8254581689834595
12	0.8327605724334717
13	0.8267468214035034
14	0.8310424089431763
15	0.8256013989448547
16	0.8281071186065674
17	0.8276775479316711
18	0.8308275938034058
19	0.8317583203315735
20	0.8311139941215515
21	0.8318299055099487
22	0.832187831401825
23	0.8324742317199707
24	0.8233820199966431
25	0.8321162462234497
26	0.8331901431083679
27	0.830899178981781
28	0.8283218741416931
29	0.8305412530899048
